Feature set,Features,Training accuracy,CV accuracy,CV macro F1,F1 fold std
All traffic,161,1.0,0.9500637469180787,0.9488210032631191,0.0009702359470090379
Combined,14,0.9998906277440697,0.8625096976763088,0.8614399878854978,0.0022027472341070733
Baseline + chunk detail,10,0.9998750031151543,0.8563786018907069,0.8517929885312618,0.0024120622430076817
Baseline + transport,12,0.9998875028124274,0.8523161916930523,0.8494100281262194,0.0001572516527535082
Baseline,8,0.9998781280467964,0.838597792815862,0.831940241685165,0.0012803170515984013
